CHROME ISLAND LIGHTSTATION: AVERAGE MONTHLY SEA SURFACE TEMPERATURES (C),,,,,,,,,,,,
YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1961,999.99,999.99,999.99,9.03,11.57,15.42,17.49,17.87,14.63,10.75,8.76,7.51
1962,999.99,999.99,999.99,8.59,11.41,14.58,17.44,15.05,15.13,10.8,9.62,8
1963,7.05,7.79,8.02,9.15,12.38,14.87,15.68,17.75,14.81,11.57,8.5,7.75
1964,7.34,7.07,7.49,8.59,10.96,14.4,15.37,14.81,13.81,11.22,8.71,7.05
1965,6.17,6.11,6.88,8.27,11.18,14.76,17.8,17.5,14.52,10.35,9.23,7.82
1966,6.59,6.72,7.37,9.1,11.27,13.1,16.12,16.78,13.39,10.97,8.94,7.93
1967,7,6.89,7.15,8.46,11.55,17.07,17.25,19.49,13.92,10.66,9.34,7.58
1968,7.12,6.8,7.62,8.54,11.82,14.4,17.3,16.13,13.62,10.55,8.97,7.1
1969,5.32,5.86,6.77,7.86,12.24,17.05,17.66,14.73,12.93,10.9,9.03,8.07
1970,6.9,7.31,7.87,8.7,11.07,15.38,16.08,16.45,13.22,10.83,8.64,7.47
1971,6.21,6.25,6.29,8.02,11.34,12.79,16.83,16.41,13.25,10.69,8.55,6.91
1972,6.07,6.32,7,7.66,11.21,14.4,15.55,18.47,13.49,10.33,8.4,7.18
1973,6.3,6.31,7.32,8.73,11.24,13.02,16.07,17.03,13.67,10.63,8.27,7.39
1974,6.42,6.65,6.99,8.33,10.16,13.3,15.46,16.68,15.25,11.18,8.77,8.04
1975,6.73,6.33,7.14,8.42,10.6,14.4,18.06,15.09,15,10.63,8.77,7.09
1976,7.14,7.01,6.92,8.6,10.59,12.88,15.19,15.41,14.24,11.55,9.36,8.2
1977,7.15,7.98,7.73,9.1,11.22,14.53,16.12,18.11,14.12,11.2,8.47,7.37
1978,6.4,6.99,7.93,9.29,11.92,15.76,19.14,17.19,13.21,11.81,9.01,8.15
1979,6.93,7.17,7.99,9.59,12.09,15.28,16.31,17,13.93,11.59,9.34,8.36
1980,6.72,6.8,7.46,8.67,11.36,14,16.42,16.39,13.02,11.14,9.16,7.6
1981,7.41,7.38,8.12,8.98,11.1,12.78,16.95,17.17,14.18,12,10.52,8.83
1982,7.71,8.05,8.39,9.61,12.83,17.77,17.75,17.45,15.61,12.22,9.6,8.73
1983,8.65,8.73,9.07,10.83,13.56,15.33,15.9,17.57,14.55,11.69,9.82,7.71
1984,7.98,8.21,8.86,9.67,11.26,15.26,17.29,17.19,13.87,11.13,8.99,7.48
1985,7.18,7.77,8.2,9.37,12.06,15.1,18.61,17.13,14.62,11.4,8.08,7.33
1986,8,7.33,8.04,9.22,10.99,14.44,16.11,18.24,15.04,11.93,9.44,8.21
1987,7.77,7.73,8.25,9.44,11.91,14.26,16.1,17.81,14.95,12.39,9.94,8.5
1988,7.84,7.77,8.16,9.82,11.53,14.72,16.92,16.75,14.88,11.77,9.59,8.4
1989,7.5,6.42,7.74,9.8,13.52,15.65,15.72,16.84,16.19,11.44,9.46,8.42
1990,7.88,7.04,8.04,10.18,12.55,14.83,18.3,18.35,15.95,11.07,9.26,7.46
1991,6.87,7.8,7.66,9.6,12.36,14.36,16.73,17.52,15.41,12.45,9.37,8.42
1992,7.87,7.94,9.37,10.39,14.23,17.02,18.47,17.79,14.46,12.02,10.07,8.34
1993,7.19,7.63,8.67,9.7,12.55,16.34,17.16,18.19,16.87,13,9.83,8.42
1994,8.4,7.58,8.5,10.41,13.91,15.04,18.5,18.11,15.7,12.41,9.31,7.95
1995,7.14,7.64,8.17,9.94,14.14,16.17,17.64,16.66,15.78,11.19,9.59,8.29
1996,7.46,6.96,7.92,9.49,11.73,14.55,17.8,17.61,14.62,11.63,9.11,7.49
1997,6.81,6.9,7.54,9.36,13.43,14.45,17.8,18.05,15.2,11.56,10.04,8.79
1998,7.76,7.85,8.27,9.61,13.83,16.51,18.18,19.41,16.7,11.66,10.18,8.53
1999,7.97,7.66,7.79,9.39,11.96,14.74,16.88,17.99,15.56,11.31,9.52,8.15
2000,7.38,7.6,8.37,10.01,11.62,15.08,17.9,17.47,14.98,11.81,9.64,8.29
2001,8.04,7.71,8.41,9.41,11.79,14.66,18.25,16.05,14.62,11.42,9.74,8.12
2002,7.75,7.41,7.45,9.31,11.82,15.57,18.54,18.07,15.22,12.15,9.75,8.9
2003,8.12,8.05,8.47,9.63,12.5,16.19,18.18,18.3,15,11.82,9.28,8.27
2004,7.5,7.51,8.71,10.78,14.38,16.68,18.41,19.01,15.12,12.55,10.23,9.24
2005,8.48,7.8,9.22,10.35,13.28,15.79,17.39,18.85,15.73,11.86,9.9,8.55
2006,8.73,7.5,8.35,9.7,12.24,16.45,18.04,18.04,15.61,12.35,9.44,8.25
2007,7.27,7.79,8.23,9.43,12.62,14.72,17.19,17.84,15.8,11.02,9.66,8.38
2008,8.07,8.53,9,9.83,12.66,15.2,18.73,16.63,15.65,11.61,10.13,8.72
2009,8.04,8.01,8.27,9.83,12.79,17.92,19.29,18.48,15.63,12.34,10.05,8.39
2010,9.01,9.02,9.37,10.3,12.7,15.39,19.42,19.66,14.99,12.68,10.27,9.23
2011,8.26,9.02,8.95,9.77,11.98,15.28,17.42,18.77,16.27,12.23,10.19,9.28
2012,8.75,8.52,7.79,9.02,11.73,13.71,17.64,17.76,15.18,10.99,8.78,8.09
2013,7.16,7.89,8.17,9.65,12.62,15.82,19.65,17.44,14.98,11.68,9.78,7.33
2014,8.03,7.59,7.85,9.29,13.17,16.09,17.55,19.55,15.03,12.25,10.07,8.77
2015,8.35,8.83,9.34,10.57,14.83,17.63,17.5,17.93,13.79,12.55,10.16,9.37
2016,8.24,8.5,9.11,10.75,14,15.74,16.98,17.74,13.94,11.69,10.41,8.4
2017,7.75,7.51,8.26,9.38,12.51,15.27,17.47,18.03,15.17,11.59,9.45,7.9
2018,8.11,7.66,8.15,9.55,14.39,15.18,17.78,18.15,13.79,11.89,10.23,8.87
2019,8,6.96,8.24,9.95,13.56,999.99,17.42,17.23,14.13,11.9,10.17,9.07
2020,8.35,7.56,7.95,999.99,999.99,999.99,999.99,999.99,999.99,999.99,10.11,8.69
2021,7.99,7.58,8.09,10.07,13.19,16.8,19.95,18.23,13.48,11.34,9.47,7.6
2022,7.2,7.54,8.39,8.37,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99
